gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3349406081	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT830647	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis		SPECIES	Staphylococcus epidermidis (Winslow & Winslow, 1908) Evans, 1916	Staphylococcus epidermidis		CO	Antioquia		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	6.51	-74.87							2016-10-01	1	10	2016	3227655	3227655	MATERIAL_SAMPLE							CC_BY_4_0		J.Sabrina, T.Ligia			2025-12-20T12:41:00.658Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
3349398456	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT880917	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus chromogenes		SPECIES	Staphylococcus chromogenes (Devriese et al., 1978) Hajek et al., 1987	Staphylococcus chromogenes		CO	Cundinamarca		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	4.58	-74.16							2009-03-01	1	3	2009	3227714	3227714	MATERIAL_SAMPLE							CC_BY_4_0		J.Sabrina_T.Ligia			2025-12-20T12:41:00.094Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
3349391555	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT830694	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus agnetis		SPECIES	Staphylococcus agnetis Taponen et al., 2012	Staphylococcus agnetis		CO	Antioquia		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	6.51	-74.87							2016-10-01	1	10	2016	7412744	7412744	MATERIAL_SAMPLE							CC_BY_4_0		J.Sabrina, T.Ligia			2025-12-20T12:40:33.504Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
3349391554	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT830658	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus		SPECIES	Staphylococcus haemolyticus Schleifer & Kloos, 1975	Staphylococcus haemolyticus		CO	Cundinamarca		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	4.58	-74.16							2008-12-01	1	12	2008	3227680	3227680	MATERIAL_SAMPLE							CC_BY_4_0		J.Sabrina, T.Ligia			2025-12-20T12:41:18.364Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
3349389544	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT830693	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus agnetis		SPECIES	Staphylococcus agnetis Taponen et al., 2012	Staphylococcus agnetis		CO	Antioquia		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	6.51	-74.87							2016-10-01	1	10	2016	7412744	7412744	MATERIAL_SAMPLE							CC_BY_4_0		J.Sabrina, T.Ligia			2025-12-20T12:40:33.351Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
3349389543	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT830657	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus agnetis		SPECIES	Staphylococcus agnetis Taponen et al., 2012	Staphylococcus agnetis		CO	Antioquia		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	6.51	-74.87							2016-10-01	1	10	2016	7412744	7412744	MATERIAL_SAMPLE							CC_BY_4_0		J.Sabrina, T.Ligia			2025-12-20T12:41:15.760Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
3349377284	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT830642	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus chromogenes		SPECIES	Staphylococcus chromogenes (Devriese et al., 1978) Hajek et al., 1987	Staphylococcus chromogenes		CO	Cundinamarca		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	4.58	-74.16							2013-02-01	1	2	2013	3227714	3227714	MATERIAL_SAMPLE							CC_BY_4_0		J.Sabrina, T.Ligia			2025-12-20T12:41:00.053Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
3349351988	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT830673	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus agnetis		SPECIES	Staphylococcus agnetis Taponen et al., 2012	Staphylococcus agnetis		CO	Antioquia		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	6.51	-74.87							2016-10-01	1	10	2016	7412744	7412744	MATERIAL_SAMPLE							CC_BY_4_0		J.Sabrina, T.Ligia			2025-12-20T12:40:15.655Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
3349351987	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT830637	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus agnetis		SPECIES	Staphylococcus agnetis Taponen et al., 2012	Staphylococcus agnetis		CO	Antioquia		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	6.51	-74.87							2016-10-01	1	10	2016	7412744	7412744	MATERIAL_SAMPLE							CC_BY_4_0		J.Sabrina, T.Ligia			2025-12-20T12:40:47.431Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
3349338649	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT830680	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus chromogenes		SPECIES	Staphylococcus chromogenes (Devriese et al., 1978) Hajek et al., 1987	Staphylococcus chromogenes		CO	Cundinamarca		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	4.58	-74.16							2013-02-01	1	2	2013	3227714	3227714	MATERIAL_SAMPLE							CC_BY_4_0		J.Sabrina, T.Ligia			2025-12-20T12:40:25.927Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
3349306265	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT830684	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis		SPECIES	Staphylococcus epidermidis (Winslow & Winslow, 1908) Evans, 1916	Staphylococcus epidermidis		CO	Antioquia		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	6.51	-74.87							2016-10-01	1	10	2016	3227655	3227655	MATERIAL_SAMPLE							CC_BY_4_0		J.Sabrina, T.Ligia			2025-12-20T12:40:25.916Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
3349300555	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT880915	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus devriesei		SPECIES	Staphylococcus devriesei A	Staphylococcus devriesei		CO	Cundinamarca		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	4.58	-74.16							2008-12-01	1	12	2008	8234675	8234675	MATERIAL_SAMPLE							CC_BY_4_0		J.Sabrina_T.Ligia			2025-12-20T12:40:47.701Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
3349300393	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT830659	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus chromogenes		SPECIES	Staphylococcus chromogenes (Devriese et al., 1978) Hajek et al., 1987	Staphylococcus chromogenes		CO	Cundinamarca		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	4.58	-74.16							2009-03-01	1	3	2009	3227714	3227714	MATERIAL_SAMPLE							CC_BY_4_0		J.Sabrina, T.Ligia			2025-12-20T12:41:18.403Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
3349300392	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT830640	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus		SPECIES	Staphylococcus haemolyticus Schleifer & Kloos, 1975	Staphylococcus haemolyticus		CO	Cundinamarca		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	4.58	-74.16							2008-12-01	1	12	2008	3227680	3227680	MATERIAL_SAMPLE							CC_BY_4_0		J.Sabrina, T.Ligia			2025-12-20T12:40:47.678Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
3349277241	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	LOHL01000000	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis		SPECIES	Staphylococcus epidermidis (Winslow & Winslow, 1908) Evans, 1916	Staphylococcus epidermidis		CO	Cundinamarca, Mosquera		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	4.7078	-74.2328							2011-06-06	6	6	2011	3227655	3227655	MATERIAL_SAMPLE							CC_BY_4_0		Antonio Betancurt			2025-12-20T12:14:04.948Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
